,"1=A=PHOTO, 2=B=WEAVE","0=None, 10=Very Strong","0=None, 10=Very Strong","0=None, 10=Very Strong","0=None, 10=Very Strong","1 = Yes, 2 = No",,"1 = Yes, 2 = No",,"1 = Yes, 2 = No",,"1 = Yes, 2 = No",,,"1=Male,2=Female","HS=12, Some College=13, AA=14, BA/BS/College Degree=16, masters=18, PHD/MD=21",
48,1,8,8,5,5,1,12,1,4,1,12,2,,38,2,21,
49,1,7,3,5,3,2,,2,,2,,2,,79,2,21,
50,1,3,5,6,8,1,,2,,2,,1,,73,2,18,
51,1,2,3,,,2,,1,25,2,,2,,56,2,18,
52,1,5,10,8,2,1,10,2,,1,6,2,,61,2,18,
53,1,8,8,4,8,1,10,2,,1,30,2,,64,1,16,
54,1,7,7,5,3,,,,,,,,,,,,
55,1,8,6,10,9,2,,2,,2,,2,,38,2,16,
56,1,6,8,5,7,2,,2,,1,20,2,,60,1,13,
57,1,10,0,8,4,2,,1,8,1,20,2,,66,2,18,
58,1,9,3,6,3,1,20,2,,1,,2,,40,2,16,
59,1,5,10,8,8,2,,1,5,2,,2,,57,2,16,
60,1,6,6,8,1,1,20,1,10,1,25,2,,56,2,13,
61,1,8,9,6,3,2,,2,,2,,2,,54,2,16,
62,1,6,7,6,4,2,,2,,2,,2,,67,2,16,
63,1,8,5,5,5,2,,2,,2,,2,,50,2,16,
64,1,7,0,7,6,1,2,2,,1,1,2,,27,1,13,
65,1,7,7,9,7,2,,1,4,1,10,2,,60,2,21,
66,1,3,5,6,2,2,,2,,2,,2,,48,1,12,
67,1,7,5,8,6,1,30,1,15,1,10,1,5,35,2,13,
68,1,6,3,6,2,1,6,2,,1,3,2,,23,1,16,
69,1,6,7,9,8,,,,,,,,,,,,
70,1,6,7,7,2,1,10,2,,1,5,2,,25,1,16,
71,1,7,6,2,4,2,,2,,2,,2,,26,2,16,
72,1,7,3,9,1,,,1,27,2,,2,,50,1,12,
73,1,4,4,7,2,2,,2,,2,,2,,64,1,21,
74,1,8,5,6,3,1,6,2,,1,2,2,,23,2,14,
75,1,9,4,2,7,1,3,2,,1,,2,,21,2,13,
76,1,9,5,8,1,2,,1,39,2,,2,,61,1,21,
77,1,6,7,2,2,,,,,,,,,,,,
78,1,5,1,5,6,1,50,2,,2,,2,,88,1,21,
79,1,5,7,6,7,1,15,2,,2,,2,,60,2,14,
80,1,2,2,3,2,1,50,2,,2,,2,,59,2,16,
81,1,0,5,0,5,,,,,,,,,,,,
82,1,6,7,4,3,1,8,1,8,2,,2,,34,2,16,
83,1,10,10,10,10,1,,1,,2,,1,,72,2,18,
84,1,6,8,4,1,,,,,,,,,,,,
85,1,5,6,4,3,1,55,1,30,1,30,1,12,64,2,21,
86,1,3,6,7,4,1,25,2,,1,10,2,,71,1,21,
87,1,7,8,7,7,1,,2,,1,,2,,48,2,21,
88,1,3,1,2,1,2,,2,,1,,2,,9,1,3,
89,1,7,7,8,8,1,2,2,,2,,2,,18,2,13,
90,1,4,7,7,9,1,7,1,2,1,3,1,1,7,2,1,
91,1,8,4,10,10,,,,,,,,,,,,
92,1,7,3,5,3,1,15,1,25,1,15,2,,59,1,18,
93,1,6,8,7,8,2,,2,,2,,2,,34,2,,
94,1,7,5,6,5,1,5,2,,1,4,2,,21,2,14,
95,1,7,7,7,4,1,7,2,,1,5,2,,20,1,13,
96,1,7,1,8,3,2,,2,,2,,2,,62,1,,
97,1,7,5,4,3,2,,1,50,1,25,2,,70,1,21,
98,1,8,7,8,4,1,30,2,,1,20,2,,60,2,13,
99,1,9,9,9,9,1,,2,,2,,2,,86,2,18,
100,1,7,8,5,6,1,55,2,,2,,2,,61,1,13,
101,1,6,5,8,9,1,5,1,5,1,20,2,,25,1,16,
102,1,9,0,5,7,1,3,1,4,2,,2,,23,2,13,
103,1,5,4,6,2,1,5,2,,1,4,2,,17,2,13,
104,1,7,10,8,5,1,25,2,,1,15,2,,46,2,18,
105,1,8,10,6,6,,,,,,,,,,,,
106,1,9,10,7,9,2,,2,,2,,2,,76,2,18,
107,1,7,5,5,4,1,9,1,2,1,9,1,1,28,2,16,
108,1,8,6,2,4,1,4,1,1,2,,1,2,56,2,16,
109,1,7,4,3,5,1,21,2,,2,,2,,29,1,16,
110,1,7,7,7,3,2,,1,2,2,,2,,54,2,21,
111,1,10,0,3,4,1,1,1,25,2,,2,,50,2,21,
112,1,5,6,4,4,2,,2,,1,5,1,1,59,2,18,
113,1,6,8,8,7,1,,2,,1,15,2,,74,1,18,
114,1,0,7,2,4,1,20,1,2,1,2,2,,42,2,16,
115,1,6,10,9,5,1,5,1,2,1,1,1,2,30,2,16,
116,1,5,9,2,4,1,20,2,,1,9,2,,53,2,18,
117,1,6,3,2,2,,,,,,,,,,,,
118,1,4,5,3,3,1,18,1,1,1,2,2,,34,2,18,
119,1,6,8,5,8,1,10,2,,2,,2,,31,2,16,
120,1,5,7,4,5,2,,2,,2,,2,,56,1,13,
121,1,7,6,7,3,2,,2,,2,,2,,29,1,13,
122,1,9,9,7,8,1,50,1,5,1,25,1,5,57,2,21,
123,1,7,8,4,4,2,,2,,2,,2,,22,2,16,
124,1,6,3,6,5,1,25,2,,1,20,2,,45,1,18,
125,1,5,10,6,5,1,25,2,,1,20,2,,65,2,,
126,1,8,6,6,2,2,,2,,2,,2,,19,2,13,
127,1,7,7,7,7,2,,2,,1,,2,,14,1,9,
128,1,4,6,,,,,,,,,,,,,,
129,1,4,4,5,6,1,1,2,,1,1,2,,24,2,16,
130,1,6,8,8,8,1,80,2,,1,10,1,2,87,2,16,
131,1,7,7,6,5,2,,2,,2,,2,,33,1,21,
132,1,9,0,,,,,,,,,,,,,,
133,1,6,6,7.5,7.5,1,1,2,,2,,1,,67,1,18,
134,1,8,5,10,3,1,15,2,,1,5,1,15,40,2,18,
135,1,6,8,8,2,1,61,1,1,1,2,1,1,66,2,18,
136,1,4,3,2,3,1,63,2,13,,,,,,,,
137,1,6,6,7,,8,1,3,2,,1,2,,24,2,16,
138,1,6,9,8,1,1,10,1,30,1,30,2,,60,1,18,
139,1,10,6,10,6,,,,,,,,,,,,
140,1,6,4,2,2,,,,,,,,,,,,
141,1,5,0,5,0,2,,2,,2,,2,,44,2,13,
142,1,7,8,6,8,2,,2,,2,,2,,60,2,21,
143,1,9,9,9,9,1,3,2,,2,,1,1,9,1,3,
144,1,3,6,5,1,2,,1,2,2,,2,,29,1,16,
145,1,5,7,,,,,,,,,,,,,,
146,1,6,8,,,,,,,,,,,,,,
147,1,7,6,4,5,2,,2,,2,,2,,76,2,16,
148,1,5,7,5,3,1,70,1,50,1,30,2,,77,2,21,
149,1,7,8,7,7,2,,2,,2,,2,,46,2,18,
150,1,7,3,8,4,1,41,2,,2,,1,42,56,2,13,
151,1,9,9,4,5,1,20,2,,2,,2,,59,2,21,
152,1,7,8,6,3,2,,2,,2,,2,,60,2,12,
153,1,8,7,9,1,2,,2,,2,,2,,55,1,16,
154,1,9,5,3,4,1,35,1,1,1,60,1,2,66,2,18,
155,1,1,5,4,3,1,37,1,37,1,20,2,,37,1,16,
156,1,1,1,6,3,2,,2,,2,,2,,11,2,5,
157,1,6,9,6,4,2,,2,,2,,2,,55,2,21,
158,1,9,9,6,4,2,,1,35,1,30,2,,56,1,18,
159,1,7,0,6,4,2,,1,30,1,15,2,,68,2,16,
160,1,9,9,9,9,1,5,2,,1,1,1,2,8,2,3,
161,1,6,5,7,6,1,60,1,20,1,10,2,,67,2,18,
162,1,3,6,2,4,2,,2,,2,,2,,68,2,18,
163,1,5,3,7,5,2,,2,,2,,2,,17,2,11,
164,1,4,4,7,1,1,,,,,,,,13,2,7,
165,1,6,1,7,5,1,64,,,1,2,2,,33,1,13,
166,1,6,0,5,3,2,,2,,2,,2,,70,2,16,
167,1,9,0,9,0,1,4,2,,1,2,2,,23,2,13,
168,1,6,6,7,6,2,,2,,2,,2,,52,2,18,
169,1,5,6,4,7,1,15,1,10,2,,2,,43,2,21,
170,1,3,7,8,3,1,1,2,,2,,2,,11,2,6,
171,1,5,9,5,3,1,,1,15,1,,2,,55,2,21,
172,1,9,0,8,4,1,30,2,,1,12,1,6,50,2,18,
173,1,9,5,7,5,1,50,2,,1,10,1,1,55,2,13,
174,1,8,8,9,3,1,30,2,,2,,2,,62,2,16,
175,1,7,6,5,7,2,,2,,1,3,2,,45,2,21,
176,1,5,7,6,3,2,,2,,1,,1,1,68,2,21,
177,1,4,6,7,7,2,,2,,1,4,2,,20,2,,
178,1,8,3,8,7,1,7,2,,1,2,2,,44,2,16,
179,1,9,9,9,9,,,,,,,,,,,,
180,1,6,7,8,3,2,,1,10,1,10,2,,33,1,21,
181,1,9,3,,,,,,,1,2,,,15,2,10,
182,1,6,5,8,2,1,6,2,,1,2,,,23,2,16,
183,1,,,,,,,,,,,,,,,,
184,1,3,4,6,4,2,,2,,2,,2,,60,2,21,
185,1,1,5,12,10,1,25,2,,1,,2,,28,1,16,
186,1,5,2,,,1,25,2,,1,,2,,65,1,21,
187,1,7,9,9,9,1,30,2,,1,30,2,,53,2,16,
188,1,3,7,6,3,2,,2,,2,,2,,49,1,21,
189,1,7,7,4,4,1,30,2,,1,30,2,,52,2,16,
190,1,8,5,,,,,,,,,,,,,,
191,1,8,9,9,5,1,2,1,1,2,,2,,21,2,13,
192,1,6,4,5,5,2,,2,,1,1,2,,37,2,13,
193,1,9,,7,,2,,1,5,2,,1,10,63,2,16,
194,1,10,4,5,5,2,,2,,2,,2,,11,2,6,
195,1,7,8,7.5,7,1,34,1,4,1,8,2,,34,2,28,
196,1,6,7,7,5,1,6,1,2,1,2,2,,21,2,16,
197,1,7,7,5,5,1,30,2,,2,,1,30,52,2,16,
198,1,7,7,7,7,2,,2,,2,,2,,38,1,16,
199,1,10,10,,,1,20,2,,2,,1,1,20,2,16,
200,1,5,9,8,1,2,,2,,2,,1,3,59,2,13,
201,1,6,7,7,3,2,,1,15,2,,2,,54,2,21,
202,1,6,8,8,3,,,1,20,1,15,,,38,1,21,
203,1,6,8,7,3,2,,2,,2,,2,,65,2,18,
204,1,6,8,8,5,1,60,2,,2,,2,,66,2,18,
205,1,5,7,3,3,,,,,,,,,,,,
206,1,7,9,8,4,1,76,2,,2,,1,50,76,2,13,
207,1,6,4,7,5,1,7,2,,1,21,2,,59,2,18,
208,1,6,10,9,5,1,63,2,,2,,2,,64,2,13,
209,1,3,8,7,4,,,,,,,,,,,,
210,1,9,6,9,4,2,,1,2,1,1.5,2,,16,2,10,
211,1,3,6,4.5,3,2,,2,,2,,2,,42,2,21,
212,1,9,8,7,5,1,,2,,2,,1,,101,2,18,
213,1,4,5,7,2,1,,2,,1,40,2,,,2,16,
214,1,4,10,5,8,2,,1,35,1,1,2,,59,1,21,
215,1,5,5,5,5,1,3,2,,2,,2,,9,1,3,
216,1,8,0,6,5,1,21,2,,1,16,2,,42,2,18,
217,1,8,10,7,6,2,,2,,2,,2,,48,2,16,
218,1,7,0,3,1,1,50,2,,2,,2,,56,2,13,
219,1,5,4,9,4,1,,,,2,,2,,60,2,18,
220,1,7,7,6,8,2,,2,,2,,2,,59,2,13,
221,2,2,1,3,3,2,,2,,2,,2,,20,1,13,
222,2,8,9,6,5,2,,2,,2,,2,,29,2,13,
223,2,8,5,,,,,,,,,,,,,,
224,2,6,4,,,2,,2,,2,,2,,30,2,13,
225,2,10,4,7,7,1,5,2,,2,,1,31,63,1,21,
226,2,2,4,,,,,,,,,,,,,,
227,2,7,2,6,6,1,3,1,1,1,1,2,,47,2,13,
228,2,3,8,8,7,,,,,,,,,,,,
229,2,7,3,3,3,2,,2,,2,,2,,31,1,21,
230,2,8,0,8,0,1,51,1,10,1,20,1,52,57,2,18,
231,2,7,6,8,4,2,,1,2,2,,2,,13,1,7,
232,2,4,2,3,4,1,3,2,,1,3,2,,20,2,12,
233,2,6,8,4,1,2,,2,,1,2,2,,20,2,13,
234,2,7,3,9,7,1,4,2,,2,,2,,12,2,7,
235,2,7,7,6,6,1,26,2,,2,,2,,61,2,16,
236,2,9,0,8,0,2,,2,,1,10,2,,73,1,16,
237,2,5,4,9,10,1,12,2,,1,12,1,2,32,2,16,
238,2,7,8,8,9,1,51,2,,1,10,2,,60,2,21,
239,2,6,3,5,4,1,,2,,1,,2,,31,2,21,
240,2,5,0,6,0,2,,2,,2,,2,,28,2,13,
241,2,7,6,9,4,1,8,2,,2,,2,,22,1,16,
242,2,9,4,6,4,,,,,,,,,,,,
243,2,2,5,2,5,1,30,1,4,1,30,2,,62,2,18,
244,2,8,9,,,,,,,,,,,,,,
245,2,4,0,7,0,,,1,3,2,,2,,20,2,13,
246,2,8,8,8,8,1,,2,,2,,2,,59,2,18,
247,2,5,4,6,7,1,40,1,2,2,,1,2,61,2,16,
248,2,3,9,7,9,2,,2,,2,,2,,58,2,18,
249,2,4,9,9,10,1,40,2,,1,54,2,,71,2,18,
250,2,7,2,6,4,2,,2,,2,,2,,72,2,21,
251,2,3,6,7,6,1,40,1,4,1,,2,,65,1,16,
252,2,3,7,3,8,1,10,1,5,1,50,2,,69,2,16,
253,2,7,8,8,7,1,31,2,,1,10,1,25,59,2,18,
254,2,8,10,6,8,1,,1,6,1,5,2,,80,1,13,
255,2,7,6,9,8,1,10,2,,2,,2,,64,2,16,
256,2,1,3,7,7,1,50,2,,1,40,2,,51,1,21,
257,2,8,5,8,4,1,30,2,,1,40,1,2,60,2,16,
258,2,9,9,2,4,1,10,2,,1,5,2,,30,1,18,
259,2,6,7,5,10,2,,2,,2,,2,,8,2,2,
260,2,9,4,1,5,1,5,2,,2,,2,,5,2,1,
261,2,7,9,,,2,,2,,2,,2,,75,2,21,
262,2,6,8,5,6,1,2,2,,2,,2,,66,1,16,
263,2,7,6,8,9,2,,2,,2,,2,,63,1,13,
264,2,7,0,4,2,,,,,,,,,,,,
265,2,7,7,8,8,1,26,2,,1,26,2,,46,2,16,
266,2,1,3,0,4,1,,2,,2,,2,,,2,14,
267,2,7,7,7,5,2,,1,5,2,,2,,54,2,18,
268,2,5,7,3,4,2,,2,,2,,1,,58,2,,
269,2,7,10,5,5,2,,1,21,1,31,2,,48,2,13,
270,2,3,,0,4,1,4,1,2,1,6,2,,25,1,16,
271,2,7,8,4,6,,,,,2,,2,,19,1,5,
272,2,6,4,2,5,2,,2,,1,,2,,33,2,18,
273,2,6,5,6,6,1,1,2,,2,,1,1,17,2,11,
274,2,6,5,6,5,1,15,1,4,1,10,2,,69,2,21,
275,2,2,7,2,7,2,,1,30,2,,2,,60,2,21,
276,2,8,3,4,5,1,15,2,,1,5,1,11,30,2,16,
277,2,5,3,6,7,1,2,2,,1,1,2,,24,2,13,
278,2,8,1,9,4,1,2,2,,1,2,2,,31,1,18,
279,2,7,2,5,5,2,,1,3,2,,2,,33,2,21,
280,2,7,7,5,4,1,5,2,,2,,1,1,58,2,13,
281,2,6,7,7,6,1,3,1,5,1,11,2,,41,1,18,
282,2,6,2,,,,,,,,,,,,,,
283,2,8,9,8,5,1,30,2,,1,20,1,3,53,1,13,
284,2,7,3,3,4,1,21,2,,1,21,2,,63,2,18,
285,2,8,9,8,9,2,,2,,1,20,2,,55,2,16,
286,2,8,9,9,9,2,,1,10,2,,1,,62,2,16,
287,2,4,4,4,5,,,,,,,,,,,,
288,2,7,8,8,8,1,20,2,,2,,2,,51,2,13,
289,2,8,3,8,4,1,45,2,,1,2,2,,62,2,13,
290,2,8,1,7,2,2,,1,1,2,,2,,26,2,16,
291,2,6,7,6,7,,,,,,,,,,,,
292,2,9,9,7,8,,,2,,1,4,2,,50,1,21,
293,2,7,5,5,4,2,,2,,2,,2,,51,2,13,
294,2,7,0,2,0,,,,,,,,,,,,
295,2,8,8,9,9,1,1,1,2,2,,2,,48,2,18,
296,2,7,7,8,8,1,21,2,,1,5,2,,58,2,21,
297,2,7,2,5,4,1,15,2,,2,,2,,51,2,13,
298,2,5,8,3,5,2,,1,20,1,2,2,,45,1,21,
299,2,6,7,1,4,1,10,1,5,1,15,2,,38,2,16,
300,2,6,7,6,7,2,,2,,1,2,2,,35,2,16,
301,2,3,4,4,6,2,,2,,2,,2,,52,1,18,
302,2,7,10,7,10,,,,,,,,,,,,
303,2,6,3,,,2,,1,,2,,2,,77,2,21,
304,2,7,2,4,4,1,6,2,,1,4,1,1,22,2,16,
305,2,7,8,3,4,1,40,2,,1,40,1,3,59,2,18,
306,2,8,7,5,4,1,10,2,,1,5,2,,38,2,13,
307,2,8,9,8,9,,,,,,,,,,,,
308,2,0,5,6,8,1,1,1,10,2,,2,,24,1,16,
309,2,7,5,7,8,1,20,1,4,1,15,2,,33,2,21,
310,2,2,3,4,7,1,12,1,4,2,,2,,28,2,16,
311,2,3,6,6,3,2,,2,,2,,2,,65,1,18,
312,2,6,3,6,1,2,,2,,2,,2,,58,2,16,
313,2,5,3,5,9,2,,2,,2,,2,,32,2,13,
314,2,7,4,5,5,1,21,2,,1,21,2,,72,1,14,
315,2,10,5,,,,,,,,,,,,,,
316,2,7,8,8,9,2,,1,,1,,1,,54,2,18,
317,2,7,8,8,9,2,,2,,2,,2,,29,2,13,
318,2,4,5,0,5,1,10,1,10,2,,2,,36,1,18,
319,2,3,3,6,5,2,,2,,1,3,2,,48,2,13,
320,2,7,8,4,4,1,3,2,,1,12,2,,27,2,13,
321,2,5,2,5,5,,,,,,,,,,,,
322,2,3,6,4,5,1,30,2,,1,21,1,30,68,2,18,
323,2,3,3,8,5,1,,1,34,2,,1,,60,2,13,
324,2,8,7,6,6,1,5,2,,1,3,2,,18,2,12,
325,2,,,,,,,,,,,,,,,,
326,2,5,6,8,7,1,20,2,,1,12,2,,33,2,18,
327,2,,,,,1,3,1,1,2,,1,1,,1,3,
328,2,9,0,6,0,2,,2,,2,,2,,65,2,13,
329,2,5,10,4,9,1,20,2,,1,,2,,68,7,21,
330,2,8,8,,,2,,2,,2,,2,,53,2,21,
331,2,8,3,6,3,2,,2,,2,,2,,57,2,21,
332,2,8,,5,,2,,2,,2,,2,,32,2,13,
333,2,8,4,7,6,1,35,1,6,2,,2,,38,2,14,
334,2,7,5,6,6,2,,2,,2,,2,,39,2,13,
335,2,5,3,5,5,1,5,2,,1,15,1,1,50,2,16,
336,2,8,3,,,,,,,,,,,,,,
337,2,8,8,8,4,1,30,2,,2,,2,,61,2,21,
338,2,6,6,7,7,2,,1,,1,5,2,,45,2,16,
339,2,8,9,10,3,1,50,1,35,1,46,1,,54,2,16,
340,2,7,5,,,1,,1,12,1,,2,,37,1,16,
341,2,6,6,,,2,,2,,2,,2,,55,1,16,
342,2,4,9,4,3,,,,,,,,,,,,
343,2,7,5,7,7,2,,1,45,1,50,2,,66,1,21,
344,2,6,5,7,1,,,,,,,,,,,,
345,2,7,9,5,8,,,2,,2,,2,,65,2,21,
346,2,9,9,6,7,1,61,1,35,2,,1,5,73,1,18,
347,2,5,2,6,8,2,,1,20,1,15,2,,38,1,21,
348,2,3,5,5,5,1,20,2,,1,10,1,18,64,2,21,
349,2,6,3,6,1,2,,2,,2,,2,,71,1,,
350,2,9,7,6,7,1,,,,1,3,2,,61,2,18,
351,2,2,5,6,8,1,10,1,4,1,15,2,,67,1,21,
352,2,7,8,8,8,1,61,2,,2,,1,2,16,2,12,
353,2,6,3,,,1,7,1,25,1,30,2,,59,2,21,
354,2,10,10,7,6,2,,2,,2,,2,,60,2,18,
355,2,0,1,0,0,2,,1,50,1,40,2,,69,1,13,
356,2,4,4,5,5,2,,2,,2,,2,,60,2,16,
357,2,8.5,,7.5,,1,,2,,1,,1,2,67,2,16,
358,2,7,7,7,6,1,60,2,,2,,1,1,64,2,16,
359,2,6,3,5,2,1,4,1,20,2,,2,,,2,21,
360,2,7,2,4,7,2,,2,,2,,2,,33,2,16,
361,2,7,6,1,4,1,1,1,4,2,,2,,20,1,13,
362,2,1,3,1,3,,,,,,,,,,,,
363,2,2,4,9,6,1,51,2,,1,51,2,,74,1,18,
364,2,3,0,4,0,1,35,1,10,1,30,2,,58,1,16,
365,2,4,7,5,4,1,8,1,13,1,2,2,,23,1,16,
366,2,7,7,6,6,2,,2,,2,,2,,58,2,16,
367,2,6,6,7,7,2,,2,,1,20,2,,57,2,18,
368,2,6,5,7,4,,,,,,,,,,,,
369,2,6,8,2,4,2,,2,,2,,2,,65,2,16,
370,2,9,8,5,5,1,2,2,,1,5,2,,9,1,8,
371,2,6,3,4,4,2,,2,,2,,2,,47,2,18,
372,2,7,8,5,4,1,5,1,5,2,,2,,23,1,16,
373,2,6,4,6,4,2,,2,,1,5,2,,37,2,16,
374,2,6,7,7,7,2,,2,,2,,1,6,49,2,18,
375,2,6,5,6,4,1,,2,,1,,1,40,54,2,16,
376,2,6,5,7,7,1,5,2,,1,5,2,,14,2,9,
377,2,7,3,,,,,,,,,,,,,,
378,2,5,3,7,3,2,,2,,2,,2,,43,2,21,
379,2,6,5,4,5,2,,2,,2,,2,,64,2,13,
380,2,8,5,6,7,,,1,1,,,1,25,63,2,16,
381,2,6,8,7,5,2,,2,,2,,2,,35,2,16,
382,2,6,4,6,6,1,20,2,,2,,2,,72,2,18,
383,2,,,,,,,,,,,,,,,,
384,2,6,0,,,,,,,,,,,,,,
385,2,2,2,6,5,2,,1,25,2,,2,,66,2,21,
386,2,9,7,7,4,1,25,2,,1,5,1,1,40,2,28,
387,2,9,9,5,4,1,,2,,2,,2,,62,2,21,
388,2,5,5,7,5,1,,2,,2,,1,10,63,2,21,
389,2,5,7,6,6,1,21,2,,2,,2,,31,2,18,
390,2,6,2,8,7,1,4,2,,2,,2,,53,2,18,
391,2,6,7,5,5,1,37,1,32,1,12,2,,37,2,18,
392,2,8,9,9,9,2,,2,,2,,2,,65,2,18,
393,2,9,9,7,9,2,,2,,2,,2,,53,2,16,
394,2,3,6,6,8,1,30,2,,1,30,2,,50,1,21,
395,2,5,4,7,8,,,,,,,,,,,,
396,2,3,5,7,6,1,21,2,,1,17,2,,35,2,18,
397,2,5,5,5,5,2,,2,,2,,1,1,35,2,13,
398,2,9,5,6,3,1,7,2,,2,,2,,61,2,,
399,2,6,9,8,8,1,40,2,,1,,2,,66,2,21,
400,2,7,8,5,4,2,,2,,2,,2,,15,1,10,
401,2,10,8,10,10,1,25,2,,2,,2,,61,2,16,
402,2,2,9,6,8,2,,1,20,2,,2,,58,1,21,
403,2,7,8,4,5,1,51,2,,1,51,2,,70,1,18,
404,2,7,3,7,3,2,,2,,2,,2,,50,2,13,
405,2,7,8,8,9,1,,2,,2,,1,3,67,2,16,
406,2,6,6,7,7,,,2,,1,40,2,,63,1,18,
407,2,6,6,7,7,2,,2,,2,,2,,65,2,18,
408,2,7,7,7,7,2,,2,,2,,2,,58,1,21,
409,2,7,0,,,,,,,,,,,,,,
410,2,7,1,6,6,2,,2,,2,,2,,43,1,21,
411,2,2,1,8,7,1,56,2,,2,,2,,56,1,21,
412,2,4,4,6,4,2,,1,22,2,,1,5,57,2,21,
413,2,8,2,8,8,1,20,1,9,1,20,2,,20,2,13,
414,2,4,4,8,2,1,30,1,20,2,,2,,52,1,21,
415,2,7,8,8,3,1,5,1,45,1,30,1,2,66,2,21,
416,2,5,4,3,4,1,2,2,,1,1,2,,17,2,12,
417,2,6,5,7,7,1,,2,,2,,2,,64,2,13,
418,2,8,9,10,10,1,31,2,,1,10,1,3,68,2,18,
419,2,10,8,10,10,1,,1,16,2,,2,,63,2,21,
420,2,9,3,5,4,2,,2,,1,2,2,,23,1,13,
421,2,8,9,9,2,1,3,2,,2,,2,,15,2,9,
422,2,7,8,8,9,,,,,,,,,,,,
423,2,4,6,5,8,2,,2,,2,,2,,34,1,16,
424,2,3,0,2,0,2,,1,6,2,,2,,23,2,18,
425,2,9,9,9,6,1,21,1,21,1,21,1,41,53,2,13,
426,2,7,8,4,5,1,31,2,,1,31,2,,60,1,16,
427,2,9,6,6,6,2,,1,3,2,,1,7,30,2,18,
428,2,6,6,6,7,1,50,1,40,1,50,1,10,70,1,21,
